UEB,HBCO,URF,AST,AGL,UOS,CCAP,PCC,Shell,Rock,DIP,FRM,SHAD,DVE,UAS,UHC,UAB,ALC,OBCA,UCC,MED,TKS,LIL,BOVO,PCS,DSN,PSS,BRC,BEC,ISS,UBC,HENR,BHA,MOL,UBS,BAS,ESC,HAPA,ALS,FLAB,USC,UHS,MSS,BAD,CLION,CANC,NOT,ELC,CLT,ISC,MSC,DROE,Tli,APL,PHY,ANO,ESSU,DVC,ELS,PHOL,HAS,BBR,MEMB,MOMD,MPR
202,166,21,229,29,100,165,72,114,24,153,217,236,128,83,112,110,23,33,168,189,88,226,109,35,83,164,220,102,183,231,71,229,103,230,193,33,25,43,165,177,33,160,88,39,217,26,143,27,235,143,70,95,223,138,24,30,222,105,35,218,32,225,97,157
27,229,126,171,85,128,164,27,227,179,88,173,39,33,226,173,43,24,196,229,182,34,131,92,85,176,227,121,90,28,224,30,211,134,225,19,234,207,79,95,92,28,158,164,136,76,137,22,223,27,166,177,103,53,23,23,149,96,223,235,227,79,125,230,98
131,106,102,222,220,24,33,80,145,89,146,100,76,214,95,184,23,122,186,41,160,147,175,76,30,56,205,114,232,219,160,228,29,125,86,43,143,21,96,21,78,32,221,230,39,151,163,65,227,202,100,135,175,18,135,204,225,229,20,65,227,153,36,224,209
